,Judge 1 Fighter 1 Round 1,Judge 1 Fighter 2 Round 1,Judge 1 Fighter 1 Round 2,Judge 1 Fighter 2 Round 2,Judge 1 Fighter 1 Round 3,Judge 1 Fighter 2 Round 3,Judge 1 Fighter 1 Round 4,Judge 1 Fighter 2 Round 4,Judge 1 Fighter 1 Round 5,Judge 1 Fighter 2 Round 5,Judge 2 Fighter 1 Round 1,Judge 2 Fighter 2 Round 1,Judge 2 Fighter 1 Round 2,Judge 2 Fighter 2 Round 2,Judge 2 Fighter 1 Round 3,Judge 2 Fighter 2 Round 3,Judge 2 Fighter 1 Round 4,Judge 2 Fighter 2 Round 4,Judge 2 Fighter 1 Round 5,Judge 2 Fighter 2 Round 5,Judge 3 Fighter 1 Round 1,Judge 3 Fighter 2 Round 1,Judge 3 Fighter 1 Round 2,Judge 3 Fighter 2 Round 2,Judge 3 Fighter 1 Round 3,Judge 3 Fighter 2 Round 3,Judge 3 Fighter 1 Round 4,Judge 3 Fighter 2 Round 4,Judge 3 Fighter 1 Round 5,Judge 3 Fighter 2 Round 5,Date,Fighter 1,Fighter 2,Judge 1,Judge 2,Judge 3
0,9,10,9,10,10,9,10,9,10,9,9,10,9,10,10,9,10,9,10,9,9,10,9,10,10,9,10,9,10,9,"February 10, 2024",Jack Hermansson,Joe Pyfer,Michael Bell,Sal D'Amato,Chris Lee
0,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"February 10, 2024",Ihor Potieria,Robert Bryczek,Adalaide Byrd,Chris Flores,Jacob Montalvo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"February 10, 2024",Michael Johnson,Darrius Flowers,Eric Colón,Junichiro Kamijo,Chris Lee
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,9,10,,,,,"February 10, 2024",Bolaji Oki,Timothy Cuamba,Michael Bell,Chris Leben,Chris Lee
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,10,9,9,10,,,,,"February 10, 2024",Loma Lookboonmee,Bruna Brasil,Eric Colón,Sal D'Amato,Junichiro Kamijo
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"February 10, 2024",Marcin Prachnio,Devin Clark,Michael Bell,Chris Lee,Jacob Montalvo
0,10,9,9,10,10,9,,,,,9,10,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"February 10, 2024",Max Griffin,Jeremiah Wells,Adalaide Byrd,Sal D'Amato,Junichiro Kamijo
0,10,8,10,9,10,9,9,9,10,9,10,9,9,10,10,9,9,9,10,9,10,9,9,10,10,9,8,10,10,9,"February 03, 2024",Nassourdine Imavov,Roman Dolidze,Derek Cleary,Sal D'Amato,Ron McCarthy
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"February 03, 2024",Renato Moicano,Drew Dober,Michael Bell,Junichiro Kamijo,Chris Lee
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"February 03, 2024",Natalia Silva,Viviane Araujo,Michael Bell,Derek Cleary,Sal D'Amato
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"February 03, 2024",Charles Johnson,Azat Maksum,Derek Cleary,Sal D'Amato,Chris Lee
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"February 03, 2024",Jeong-yeong Lee,Blake Bilder,Michael Bell,Adalaide Byrd,Chris Lee
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"February 03, 2024",MarQuel Mederos,Landon Quinones,Adalaide Byrd,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,9,10,,,,,10,9,10,9,10,9,,,,,10,9,10,9,9,10,,,,,"February 03, 2024",Jamal Pogues,Thomas Petersen,Michael Bell,Chris Lee,Anthony Maness
0,9,10,10,9,10,9,10,9,9,10,9,10,10,9,10,9,10,9,9,10,9,10,10,9,9,10,10,9,9,10,"January 20, 2024",Dricus Du Plessis,Sean Strickland,Derek Cleary,Eric Colón,Sal D'Amato
0,9,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,8,"January 20, 2024",Raquel Pennington,Mayra Bueno Silva,Eric Colón,Sal D'Amato,Saleem Haniff
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"January 20, 2024",Movsar Evloev,Arnold Allen,Eric Colón,Saleem Haniff,Patricia VanderMeer
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,9,10,10,9,10,9,,,,,"January 20, 2024",Garrett Armfield,Brad Katona,Eric Colón,Kyle Costello,Sal D'Amato
0,10,9,10,9,9,10,,,,,9,10,9,10,10,9,,,,,9,10,10,9,10,9,,,,,"January 20, 2024",Sean Woodson,Charles Jourdain,Derek Cleary,Patricia VanderMeer,Declan Woods
0,10,9,9,10,9,10,,,,,10,9,10,9,9,10,,,,,10,9,9,10,10,9,,,,,"January 20, 2024",Ramon Taveras,Serhiy Sidey,Derek Cleary,Eric Colón,Saleem Haniff
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"January 13, 2024",Mario Bautista,Ricky Simon,Derek Cleary,Sal D'Amato,Chris Lee
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"January 13, 2024",Waldo Cortes-Acosta,Andrei Arlovski,Derek Cleary,Sal D'Amato,Chris Lee
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"January 13, 2024",Preston Parsons,Matthew Semelsberger,Michael Bell,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"January 13, 2024",Farid Basharat,Taylor Lapilus,Michael Bell,Sal D'Amato,Junichiro Kamijo
0,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,9,10,"December 16, 2023",Leon Edwards,Colby Covington,Derek Cleary,Sal D'Amato,Chris Lee
0,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,"December 16, 2023",Alexandre Pantoja,Brandon Royval,Eric Colón,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 16, 2023",Paddy Pimblett,Tony Ferguson,Derek Cleary,Sal D'Amato,Junichiro Kamijo
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"December 16, 2023",Alonzo Menifield,Dustin Jacoby,Sal D'Amato,Chris Lee,Tony Weeks
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"December 16, 2023",Irene Aldana,Karol Rosa,Derek Cleary,Ron McCarthy,Jacob Montalvo
0,10,9,10,9,10,9,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,"December 09, 2023",Song Yadong,Chris Gutierrez,Sal D'Amato,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,9,10,,,,,9,10,10,9,10,9,,,,,9,10,10,9,9,10,,,,,"December 09, 2023",Andre Muniz,Jun Yong Park,Chris Flores,Jacob Montalvo,Tony Weeks
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 09, 2023",Kevin Jousset,Song Kenan,Sal D'Amato,Chris Leben,Ron McCarthy
0,10,9,10,9,9,10,,,,,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,"December 09, 2023",Luana Santos,Stephanie Egger,Junichiro Kamijo,Jacob Montalvo,Tony Weeks
0,9,10,10,9,10,9,,,,,9,10,10,9,9,10,,,,,9,10,10,9,10,9,,,,,"December 09, 2023",Talita Alencar,Rayanne Amanda,Adalaide Byrd,Sal D'Amato,Ron McCarthy
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 02, 2023",Deiveson Figueiredo,Rob Font,Mike Beltran,Gino Garcia,Patrick Patlán
