,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
0,1,Mike Swick,0,2 of 12,16%,60 of 72,0 of 0,---,1,0,3:36,2 of 12,1 of 11,1 of 1,0 of 0,1 of 6,1 of 3,0 of 3,http://www.ufcstats.com/fight-details/df28f8cb5a12ec8e
1,1,Ben Saunders,0,8 of 14,57%,8 of 14,0 of 1,0%,0,0,0:37,8 of 14,1 of 7,5 of 5,2 of 2,1 of 3,7 of 11,0 of 0,http://www.ufcstats.com/fight-details/df28f8cb5a12ec8e
2,2,Mike Swick,1,8 of 23,34%,15 of 36,1 of 1,100%,0,0,1:51,8 of 23,7 of 21,1 of 2,0 of 0,3 of 12,3 of 8,2 of 3,http://www.ufcstats.com/fight-details/df28f8cb5a12ec8e
3,2,Ben Saunders,0,9 of 17,52%,21 of 29,0 of 0,---,0,0,0:01,9 of 17,0 of 3,6 of 10,3 of 4,4 of 11,5 of 6,0 of 0,http://www.ufcstats.com/fight-details/df28f8cb5a12ec8e
0,1,Spencer Fisher,0,23 of 34,67%,25 of 36,0 of 0,---,0,0,1:20,23 of 34,2 of 9,15 of 17,6 of 8,4 of 11,14 of 18,5 of 5,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
1,1,Caol Uno,0,4 of 14,28%,9 of 19,0 of 2,0%,0,0,1:23,4 of 14,0 of 8,1 of 2,3 of 4,2 of 11,2 of 3,0 of 0,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
2,2,Spencer Fisher,0,21 of 28,75%,28 of 35,0 of 1,0%,0,0,1:08,21 of 28,3 of 10,16 of 16,2 of 2,3 of 6,13 of 17,5 of 5,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
3,2,Caol Uno,0,9 of 12,75%,21 of 24,1 of 6,16%,0,1,2:20,9 of 12,4 of 7,1 of 1,4 of 4,4 of 6,4 of 5,1 of 1,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
4,3,Spencer Fisher,0,18 of 23,78%,24 of 29,1 of 1,100%,0,0,0:38,18 of 23,7 of 12,10 of 10,1 of 1,3 of 5,13 of 16,2 of 2,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
5,3,Caol Uno,0,11 of 21,52%,21 of 34,2 of 7,28%,0,0,3:30,11 of 21,8 of 18,1 of 1,2 of 2,1 of 5,3 of 4,7 of 12,http://www.ufcstats.com/fight-details/cfacff39c9f3b2f9
0,1,Dan Hardy,0,8 of 13,61%,14 of 20,0 of 0,---,0,0,0:38,8 of 13,3 of 7,4 of 5,1 of 1,1 of 2,6 of 10,1 of 1,http://www.ufcstats.com/fight-details/11ca5d09db47708b
1,1,Marcus Davis,0,5 of 10,50%,47 of 58,1 of 5,20%,0,0,3:25,5 of 10,2 of 5,1 of 3,2 of 2,2 of 5,2 of 4,1 of 1,http://www.ufcstats.com/fight-details/11ca5d09db47708b
2,2,Dan Hardy,1,13 of 34,38%,29 of 52,0 of 0,---,0,0,2:08,13 of 34,8 of 27,2 of 3,3 of 4,7 of 24,3 of 3,3 of 7,http://www.ufcstats.com/fight-details/11ca5d09db47708b
3,2,Marcus Davis,0,10 of 22,45%,25 of 37,1 of 1,100%,1,0,0:35,10 of 22,6 of 16,3 of 5,1 of 1,8 of 20,0 of 0,2 of 2,http://www.ufcstats.com/fight-details/11ca5d09db47708b
4,3,Dan Hardy,0,7 of 14,50%,30 of 37,1 of 1,100%,0,0,1:40,7 of 14,3 of 9,1 of 2,3 of 3,4 of 7,1 of 2,2 of 5,http://www.ufcstats.com/fight-details/11ca5d09db47708b
5,3,Marcus Davis,0,4 of 9,44%,32 of 38,0 of 0,---,2,0,2:04,4 of 9,3 of 8,0 of 0,1 of 1,2 of 5,1 of 1,1 of 3,http://www.ufcstats.com/fight-details/11ca5d09db47708b
0,1,Terry Etim,0,11 of 24,45%,13 of 26,0 of 0,---,2,1,1:14,11 of 24,5 of 16,2 of 4,4 of 4,8 of 20,3 of 3,0 of 1,http://www.ufcstats.com/fight-details/0d09e95e85efad69
1,1,Justin Buchholz,1,20 of 58,34%,39 of 77,0 of 0,---,0,0,1:54,20 of 58,15 of 48,3 of 3,2 of 7,8 of 32,5 of 6,7 of 20,http://www.ufcstats.com/fight-details/0d09e95e85efad69
2,2,Terry Etim,0,16 of 26,61%,18 of 28,0 of 0,---,1,0,0:30,16 of 26,8 of 17,2 of 3,6 of 6,8 of 14,8 of 12,0 of 0,http://www.ufcstats.com/fight-details/0d09e95e85efad69
3,2,Justin Buchholz,0,3 of 8,37%,4 of 9,0 of 1,0%,0,0,0:02,3 of 8,3 of 8,0 of 0,0 of 0,1 of 6,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/0d09e95e85efad69
0,1,Dennis Siver,0,8 of 23,34%,16 of 31,0 of 0,---,2,0,1:11,8 of 23,4 of 18,0 of 0,4 of 5,6 of 20,0 of 0,2 of 3,http://www.ufcstats.com/fight-details/bb0794053766a866
1,1,Dale Hartt,0,5 of 16,31%,5 of 16,1 of 1,100%,0,0,0:29,5 of 16,1 of 12,0 of 0,4 of 4,5 of 16,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/bb0794053766a866
0,1,Paul Taylor,0,11 of 26,42%,25 of 40,0 of 0,---,0,0,1:56,11 of 26,4 of 16,0 of 1,7 of 9,10 of 23,0 of 1,1 of 2,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
1,1,Peter Sobotta,0,10 of 12,83%,10 of 12,0 of 4,0%,0,0,0:43,10 of 12,2 of 4,1 of 1,7 of 7,10 of 12,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
2,2,Paul Taylor,0,24 of 47,51%,26 of 49,0 of 0,---,0,0,0:21,24 of 47,7 of 20,1 of 5,16 of 22,24 of 47,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
3,2,Peter Sobotta,0,6 of 20,30%,6 of 20,1 of 1,100%,0,0,0:39,6 of 20,3 of 14,1 of 1,2 of 5,5 of 19,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
4,3,Paul Taylor,0,11 of 29,37%,29 of 47,0 of 0,---,0,0,2:16,11 of 29,5 of 19,0 of 2,6 of 8,8 of 22,1 of 1,2 of 6,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
5,3,Peter Sobotta,0,2 of 7,28%,3 of 8,1 of 2,50%,0,0,0:46,2 of 7,0 of 4,2 of 3,0 of 0,2 of 7,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/83314e1ed6f7d94e
0,1,Paul Kelly,0,4 of 13,30%,20 of 29,0 of 0,---,0,1,2:16,4 of 13,3 of 11,0 of 0,1 of 2,0 of 6,0 of 0,4 of 7,http://www.ufcstats.com/fight-details/cd45a78028039f53
1,1,Rolando Delgado,0,7 of 13,53%,24 of 31,0 of 1,0%,0,1,1:38,7 of 13,3 of 8,3 of 4,1 of 1,5 of 11,1 of 1,1 of 1,http://www.ufcstats.com/fight-details/cd45a78028039f53
2,2,Paul Kelly,0,8 of 22,36%,18 of 33,0 of 0,---,1,1,2:06,8 of 22,7 of 21,0 of 0,1 of 1,0 of 3,0 of 0,8 of 19,http://www.ufcstats.com/fight-details/cd45a78028039f53
3,2,Rolando Delgado,0,4 of 5,80%,15 of 18,1 of 1,100%,2,0,2:25,4 of 5,1 of 2,3 of 3,0 of 0,2 of 3,1 of 1,1 of 1,http://www.ufcstats.com/fight-details/cd45a78028039f53
4,3,Paul Kelly,0,20 of 39,51%,52 of 72,1 of 1,100%,1,0,3:32,20 of 39,17 of 36,2 of 2,1 of 1,2 of 13,0 of 1,18 of 25,http://www.ufcstats.com/fight-details/cd45a78028039f53
5,3,Rolando Delgado,0,3 of 10,30%,3 of 10,0 of 3,0%,1,0,0:00,3 of 10,2 of 6,0 of 2,1 of 2,3 of 10,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/cd45a78028039f53
0,1,Stefan Struve,0,3 of 5,60%,9 of 11,0 of 1,0%,4,0,0:00,3 of 5,1 of 2,2 of 3,0 of 0,2 of 4,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/440936f9db783997
1,1,Denis Stojnic,0,14 of 55,25%,31 of 76,0 of 0,---,0,0,4:29,14 of 55,12 of 53,2 of 2,0 of 0,0 of 4,0 of 1,14 of 50,http://www.ufcstats.com/fight-details/440936f9db783997
2,2,Stefan Struve,0,1 of 1,100%,28 of 32,0 of 0,---,3,1,2:08,1 of 1,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/440936f9db783997
3,2,Denis Stojnic,0,2 of 5,40%,5 of 9,0 of 0,---,0,0,0:19,2 of 5,2 of 5,0 of 0,0 of 0,0 of 1,0 of 0,2 of 4,http://www.ufcstats.com/fight-details/440936f9db783997
0,1,John Hathaway,0,13 of 21,61%,29 of 37,2 of 5,40%,2,1,2:55,13 of 21,1 of 6,6 of 9,6 of 6,2 of 5,10 of 15,1 of 1,http://www.ufcstats.com/fight-details/f25d324841223f26
1,1,Rick Story,0,8 of 14,57%,24 of 31,2 of 2,100%,1,2,1:31,8 of 14,1 of 6,7 of 8,0 of 0,2 of 5,5 of 7,1 of 2,http://www.ufcstats.com/fight-details/f25d324841223f26
2,2,John Hathaway,0,10 of 39,25%,49 of 81,1 of 2,50%,0,0,2:54,10 of 39,3 of 28,3 of 5,4 of 6,8 of 33,0 of 1,2 of 5,http://www.ufcstats.com/fight-details/f25d324841223f26
3,2,Rick Story,0,8 of 29,27%,12 of 33,0 of 0,---,2,0,0:12,8 of 29,4 of 22,3 of 6,1 of 1,7 of 26,0 of 1,1 of 2,http://www.ufcstats.com/fight-details/f25d324841223f26
4,3,John Hathaway,0,8 of 25,32%,24 of 41,1 of 3,33%,1,0,1:01,8 of 25,5 of 19,3 of 6,0 of 0,4 of 18,4 of 7,0 of 0,http://www.ufcstats.com/fight-details/f25d324841223f26
5,3,Rick Story,0,5 of 24,20%,11 of 30,2 of 2,100%,2,1,2:23,5 of 24,4 of 22,1 of 2,0 of 0,2 of 14,0 of 1,3 of 9,http://www.ufcstats.com/fight-details/f25d324841223f26
0,1,Lyoto Machida,1,12 of 15,80%,16 of 20,0 of 1,0%,0,0,0:16,12 of 15,5 of 8,4 of 4,3 of 3,10 of 11,0 of 0,2 of 4,http://www.ufcstats.com/fight-details/15750dc75b7426f3
1,1,Rashad Evans,0,1 of 10,10%,2 of 12,0 of 0,---,0,0,0:00,1 of 10,0 of 8,0 of 0,1 of 2,1 of 10,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/15750dc75b7426f3
2,2,Lyoto Machida,2,16 of 31,51%,21 of 38,0 of 1,0%,0,0,0:14,16 of 31,12 of 25,1 of 3,3 of 3,14 of 26,2 of 4,0 of 1,http://www.ufcstats.com/fight-details/15750dc75b7426f3
3,2,Rashad Evans,0,3 of 14,21%,3 of 14,0 of 0,---,0,0,0:00,3 of 14,2 of 12,1 of 1,0 of 1,3 of 13,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/15750dc75b7426f3
0,1,Matt Hughes,0,10 of 24,41%,20 of 37,1 of 3,33%,0,0,2:04,10 of 24,3 of 16,5 of 5,2 of 3,4 of 14,5 of 6,1 of 4,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
1,1,Matt Serra,1,5 of 17,29%,23 of 35,0 of 0,---,0,0,0:09,5 of 17,3 of 11,1 of 5,1 of 1,4 of 14,1 of 1,0 of 2,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
2,2,Matt Hughes,0,21 of 25,84%,43 of 47,1 of 1,100%,0,0,3:40,21 of 25,8 of 12,13 of 13,0 of 0,4 of 5,0 of 0,17 of 20,http://www.ufcstats.com/fight-details/d1e144ce44599f3a
