,0
0,http://mmadecisions.com/decision/14510/Jack-Hermansson-vs-Joe-Pyfer
1,http://mmadecisions.com/decision/14508/Ihor-Potieria-vs-Robert-Bryczek
2,http://mmadecisions.com/decision/14506/Michael-Johnson-vs-Darrius-Flowers
3,http://mmadecisions.com/decision/14503/Bolaji-Oki-vs-Timothy-Cuamba
4,http://mmadecisions.com/decision/14502/Loma-Lookboonmee-vs-Bruna-Brasil
5,http://mmadecisions.com/decision/14501/Marcin-Prachnio-vs-Devin-Clark
6,http://mmadecisions.com/decision/14500/Max-Griffin-vs-Jeremiah-Wells
7,http://mmadecisions.com/decision/14496/Nassourdine-Imavov-vs-Roman-Dolidze
8,http://mmadecisions.com/decision/14495/Renato-Moicano-vs-Drew-Dober
9,http://mmadecisions.com/decision/14493/Natalia-Silva-vs-Viviane-Araujo
10,http://mmadecisions.com/decision/14489/Charles-Johnson-vs-Azat-Maksum
11,http://mmadecisions.com/decision/14487/Jeong-yeong-Lee-vs-Blake-Bilder
12,http://mmadecisions.com/decision/14485/MarQuel-Mederos-vs-Landon-Quinones
13,http://mmadecisions.com/decision/14484/Jamal-Pogues-vs-Thomas-Petersen
14,http://mmadecisions.com/decision/14480/Dricus-Du-Plessis-vs-Sean-Strickland
15,http://mmadecisions.com/decision/14479/Raquel-Pennington-vs-Mayra-Bueno-Silva
16,http://mmadecisions.com/decision/14477/Chris-Curtis-vs-Marc-Andre-Barriault
17,http://mmadecisions.com/decision/14476/Movsar-Evloev-vs-Arnold-Allen
18,http://mmadecisions.com/decision/14475/Garrett-Armfield-vs-Brad-Katona
19,http://mmadecisions.com/decision/14474/Sean-Woodson-vs-Charles-Jourdain
20,http://mmadecisions.com/decision/14473/Ramon-Taveras-vs-Serhiy-Sidey
21,http://mmadecisions.com/decision/14466/Mario-Bautista-vs-Ricky-Simon
22,http://mmadecisions.com/decision/14465/Waldo-Cortes-Acosta-vs-Andrei-Arlovski
23,http://mmadecisions.com/decision/14464/Preston-Parsons-vs-Matthew-Semelsberger
24,http://mmadecisions.com/decision/14463/Farid-Basharat-vs-Taylor-Lapilus
25,http://mmadecisions.com/decision/14458/Leon-Edwards-vs-Colby-Covington
26,http://mmadecisions.com/decision/14457/Alexandre-Pantoja-vs-Brandon-Royval
27,http://mmadecisions.com/decision/14455/Paddy-Pimblett-vs-Tony-Ferguson
28,http://mmadecisions.com/decision/14453/Alonzo-Menifield-vs-Dustin-Jacoby
29,http://mmadecisions.com/decision/14452/Irene-Aldana-vs-Karol-Rosa
30,http://mmadecisions.com/decision/14446/Song-Yadong-vs-Chris-Gutierrez
31,http://mmadecisions.com/decision/14442/Andre-Muniz-vs-Jun-Yong-Park
