,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
0,1,Roman Dolidze,0,8 of 33,24%,8 of 35,0 of 1,0%,0,0,1:28,8 of 33,1 of 20,3 of 3,4 of 10,7 of 32,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
1,1,Nassourdine Imavov,1,51 of 75,68%,69 of 109,0 of 0,---,1,0,1:10,51 of 75,35 of 54,9 of 13,7 of 8,18 of 31,5 of 6,28 of 38,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
2,2,Roman Dolidze,0,5 of 30,16%,17 of 50,0 of 0,---,0,0,2:43,5 of 30,4 of 26,0 of 0,1 of 4,4 of 29,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
3,2,Nassourdine Imavov,0,9 of 22,40%,14 of 28,0 of 0,---,0,0,0:10,9 of 22,4 of 16,3 of 4,2 of 2,9 of 22,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
4,3,Roman Dolidze,0,8 of 29,27%,15 of 38,0 of 0,---,0,0,2:17,8 of 29,4 of 22,1 of 2,3 of 5,8 of 25,0 of 4,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
5,3,Nassourdine Imavov,0,20 of 33,60%,26 of 39,0 of 0,---,0,0,0:31,20 of 33,9 of 18,7 of 10,4 of 5,16 of 29,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
6,4,Roman Dolidze,0,6 of 31,19%,11 of 37,0 of 0,---,0,1,2:33,6 of 31,3 of 27,2 of 3,1 of 1,6 of 30,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
7,4,Nassourdine Imavov,0,14 of 26,53%,22 of 34,0 of 0,---,0,0,0:27,14 of 26,10 of 19,1 of 4,3 of 3,12 of 23,1 of 1,1 of 2,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
8,5,Roman Dolidze,0,7 of 29,24%,8 of 30,0 of 3,0%,0,0,1:10,7 of 29,2 of 18,2 of 5,3 of 6,7 of 29,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
9,5,Nassourdine Imavov,0,18 of 33,54%,23 of 38,0 of 0,---,0,0,1:34,18 of 33,13 of 25,4 of 7,1 of 1,12 of 24,3 of 5,3 of 4,http://www.ufcstats.com/fight-details/767ceb4a0cb43ade
0,1,Renato Moicano,0,6 of 12,50%,43 of 54,1 of 2,50%,0,0,3:48,6 of 12,5 of 11,0 of 0,1 of 1,4 of 10,0 of 0,2 of 2,http://www.ufcstats.com/fight-details/733e675fd7c0052a
1,1,Drew Dober,0,6 of 20,30%,7 of 21,0 of 0,---,0,0,0:01,6 of 20,5 of 17,1 of 3,0 of 0,6 of 20,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/733e675fd7c0052a
2,2,Renato Moicano,0,2 of 5,40%,34 of 42,2 of 3,66%,0,0,3:19,2 of 5,1 of 4,1 of 1,0 of 0,0 of 2,1 of 2,1 of 1,http://www.ufcstats.com/fight-details/733e675fd7c0052a
3,2,Drew Dober,0,6 of 13,46%,17 of 25,1 of 1,100%,0,0,1:01,6 of 13,5 of 12,1 of 1,0 of 0,2 of 6,1 of 1,3 of 6,http://www.ufcstats.com/fight-details/733e675fd7c0052a
