,age_fighter1,reach_fighter1,height_fighter1,days_since_last_comp_fighter1,num_fights_fighter1,last_5_win_ratio_fighter1,L15_ER_average_fighter1,prev_elo_fighter1,prev_trueskill_fighter1,win/lose_streak_fighter1,finish_pcnt_fighter1,total_win/loss_ratio_fighter1,days_since_started_fighter1,sig_strikes_per_minute_fighter1,age_fighter2,reach_fighter2,height_fighter2,days_since_last_comp_fighter2,num_fights_fighter2,last_5_win_ratio_fighter2,L15_ER_average_fighter2,prev_elo_fighter2,prev_trueskill_fighter2,win/lose_streak_fighter2,finish_pcnt_fighter2,total_win/loss_ratio_fighter2,days_since_started_fighter2,sig_strikes_per_minute_fighter2,division_Catch Weight,division_Featherweight,division_Flyweight,division_Heavyweight,division_Light Heavyweight,division_Lightweight,division_Middleweight,division_Open Weight,division_Super Heavyweight,division_Welterweight,division_Women's Bantamweight,division_Women's Featherweight,division_Women's Flyweight,division_Women's Strawweight
705,10271.75857400722,68.0,68.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4005,11153.0,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,70.0,70.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4748,10594.565217391304,75.0,75.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4030,10594.565217391304,72.0,72.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,11153.0,74.0,74.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2153,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,6672.0,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,11153.0,74.0,74.0,0.0,4.0,0.894355,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,4.0,0.894355,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6977,10271.75857400722,67.0,67.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,9951.0,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2473,8996.0,71.0,71.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5690,10271.75857400722,77.0,77.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1693,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5088,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10436.635028841112,72.0,72.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5468,8996.0,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5448,10436.635028841112,70.0,70.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,75.0,75.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5632,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,69.0,69.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3837,12422.0,80.0,80.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6804,9744.0,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10133.0,73.0,73.0,182.0,5.0,0.901,0.4999737878964292,1425.2957486739344,38.11228249877526,1,1.0,1.0,182,0.2127659574468085,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1449,10436.635028841112,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2468,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,11168.0,72.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5686,8790.0,64.0,64.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10436.635028841112,71.0,71.0,98.0,2.0,0.872435,0.4999737878964292,1262.2388479333104,29.205271266712927,1,1.0,1.0,98,17.142857142857142,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,10271.75857400722,69.0,69.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,13340.0,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
