,Round,KD_fighter1,Sig. str. %_fighter1,Sub. att_fighter1,Rev._fighter1,Ctrl_fighter1,lose_streak_fighter1,round_fighter1,age_fighter1,win_loss_ratio_fighter1,win_streak_fighter1,lose_streak_fighter1,num_fights_fighter1,Sig. str. landed_fighter1,Sig. str. attempted_fighter1,Total str. landed_fighter1,Total str. attempted_fighter1,Total Head landed_fighter1,Total Head attempted_fighter1,Total Body landed_fighter1,Total Body attempted_fighter1,Total Leg landed_fighter1,Total Leg attempted_fighter1,Total Distance landed_fighter1,Total Distance attempted_fighter1,Total Clinch landed_fighter1,Total Clinch attempted_fighter1,Total Ground landed_fighter1,Total Ground attempted_fighter1,Total Takedowns_fighter1,Total Takedowns attempted_fighter1,division_Catch Weight_fighter1,division_Featherweight_fighter1,division_Flyweight_fighter1,division_Heavyweight_fighter1,division_Light Heavyweight_fighter1,division_Lightweight_fighter1,division_Middleweight_fighter1,division_Welterweight_fighter1,division_Women's Bantamweight_fighter1,division_Women's Featherweight_fighter1,division_Women's Flyweight_fighter1,division_Women's Strawweight_fighter1,stance_Orthodox_fighter1,stance_Southpaw_fighter1,stance_Switch_fighter1,KD_fighter2,Sig. str. %_fighter2,Sub. att_fighter2,Rev._fighter2,Ctrl_fighter2,lose_streak_fighter2,age_fighter2,win_loss_ratio_fighter2,win_streak_fighter2,lose_streak_fighter2,num_fights_fighter2,Sig. str. landed_fighter2,Sig. str. attempted_fighter2,Total str. landed_fighter2,Total str. attempted_fighter2,Total Head landed_fighter2,Total Head attempted_fighter2,Total Body landed_fighter2,Total Body attempted_fighter2,Total Leg landed_fighter2,Total Leg attempted_fighter2,Total Distance landed_fighter2,Total Distance attempted_fighter2,Total Clinch landed_fighter2,Total Clinch attempted_fighter2,Total Ground landed_fighter2,Total Ground attempted_fighter2,Total Takedowns_fighter2,Total Takedowns attempted_fighter2,division_Catch Weight_fighter2,division_Featherweight_fighter2,division_Flyweight_fighter2,division_Heavyweight_fighter2,division_Light Heavyweight_fighter2,division_Lightweight_fighter2,division_Middleweight_fighter2,division_Welterweight_fighter2,division_Women's Bantamweight_fighter2,division_Women's Featherweight_fighter2,division_Women's Flyweight_fighter2,division_Women's Strawweight_fighter2,stance_Orthodox_fighter2,stance_Southpaw_fighter2,stance_Switch_fighter2,round_winner
0,1,0,0.43,0,0,0,0.0,5.0,11455.0,0.7407407407407407,1.0,0.0,27.0,27,62,27,62,13,46,9,11,5,5,27,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,0,1.0,10675.0,0.9090909090909092,0.0,1.0,11.0,11,33,11,33,4,21,2,4,5,8,11,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,0.51,0,0,0,0.0,5.0,11455.0,0.7407407407407407,1.0,0.0,27.0,25,49,25,49,11,30,8,9,6,10,25,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.45,0,0,0,1.0,10675.0,0.9090909090909092,0.0,1.0,11.0,19,42,19,42,10,26,6,12,3,4,19,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,0,0.64,0,0,0,0.0,5.0,11455.0,0.7407407407407407,1.0,0.0,27.0,33,51,33,51,20,37,7,7,6,7,33,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31,0,0,0,1.0,10675.0,0.9090909090909092,0.0,1.0,11.0,14,45,14,45,11,39,3,5,0,1,14,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,0,0.55,0,0,0,0.0,5.0,11455.0,0.7407407407407407,1.0,0.0,27.0,29,52,29,52,12,33,10,12,7,7,29,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,0,1.0,10675.0,0.9090909090909092,0.0,1.0,11.0,12,39,12,39,6,31,5,6,1,2,12,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,0,0.68,0,0,3,0.0,5.0,11455.0,0.7407407407407407,1.0,0.0,27.0,33,48,35,50,21,34,8,9,4,5,32,47,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,42,1.0,10675.0,0.9090909090909092,0.0,1.0,11.0,20,66,24,70,17,56,2,9,1,1,20,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,1,0,0.5,0,0,12,0.0,3.0,12421.0,1.0,3.0,0.0,3.0,25,50,25,50,20,44,4,5,1,1,25,48,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.48,0,0,0,2.0,12794.0,0.5454545454545454,0.0,2.0,11.0,19,39,19,39,8,24,2,4,9,11,19,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,2,1,0.57,0,0,4,0.0,3.0,12421.0,1.0,3.0,0.0,3.0,26,45,29,48,20,39,5,5,1,1,24,43,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.52,0,0,77,2.0,12794.0,0.5454545454545454,0.0,2.0,11.0,21,40,37,56,12,27,2,4,7,9,20,39,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,3,0,0.5,0,0,0,0.0,3.0,12421.0,1.0,3.0,0.0,3.0,16,32,16,32,11,27,3,3,2,2,15,31,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.46,0,0,109,2.0,12794.0,0.5454545454545454,0.0,2.0,11.0,24,52,40,72,16,44,4,4,4,4,21,48,3,4,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8,1,1,0.31,0,0,171,0.0,3.0,13369.0,0.5263157894736842,1.0,0.0,19.0,10,32,20,42,9,21,1,5,0,6,3,20,1,1,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,0,0,6,1.0,11681.0,0.7,0.0,1.0,10.0,14,23,16,25,5,12,2,2,7,9,13,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2,0,0.33,0,0,0,0.0,3.0,13369.0,0.5263157894736842,1.0,0.0,19.0,20,59,20,59,3,32,0,5,17,22,20,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.51,0,0,0,1.0,11681.0,0.7,0.0,1.0,10.0,24,47,24,47,9,20,3,5,12,22,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
